,accuracy,recall,precision,f1_score
0,0.9995999999999999,0.8824,0.9375,0.9091158854882135
0,0.9997,0.9129999999999999,1.0,0.9545216936748563
0,0.9997,0.9184,1.0,0.957464553794829
0,0.9998,0.9362,1.0,0.9670488585889888
0,0.9997,0.9565,0.9565,0.9565
0,0.9994,0.8957999999999999,0.9348000000000001,0.9148845624385448
0,0.9997,0.8919,1.0,0.9428616734499708
0,0.9995999999999999,0.8974,0.9459000000000001,0.9210119459664732
0,0.9995,0.875,0.9767,0.9230571906896364
0,0.9995999999999999,0.8957999999999999,1.0,0.9450363962443296
