,accuracy,recall,precision,f1_score
0,0.9786141399929652,0.9411764705882353,0.09580838323353294,0.17391304347826086
0,0.978965881111502,0.9565217391304348,0.12903225806451613,0.22739018087855295
0,0.9809342901364851,1.0,0.153125,0.2655826558265583
0,0.9781905163922893,0.9574468085106383,0.1274787535410765,0.225
0,0.9794568735049951,1.0,0.13609467455621302,0.23958333333333334
0,0.9793161671591388,0.9791666666666666,0.13823529411764707,0.24226804123711337
0,0.9789644012944984,0.972972972972973,0.10778443113772455,0.1940700808625337
0,0.980793583790629,1.0,0.125,0.2222222222222222
0,0.9815674686928381,0.9583333333333334,0.1503267973856209,0.2598870056497175
0,0.9800900520613479,0.9583333333333334,0.14067278287461774,0.24533333333333332
